№,Название,Авторы,Журнал,Выпуск,Дата публикации,Ссылка
1,Gemeinsam für unsere Zukunft – Potenzial eines umweltrelevanten Citizen Science-Projekts für den Chemieunterricht,"Mientje Lüsse, Frauke Brockhage, Marco Beeken, Verena Pietzner",CHEMKON,"Volume 29, Issue S1","First published: June 15, 2022",https://onlinelibrary.wiley.com/doi/10.1002/ckon.202100085
2,Gesprächsführung in der Berufsorientierung: Strategien zur Förderung naturwissenschaftlicher Identitäten nach dem Science-Capital-Ansatz,"Lilith Rüschenpöhler, Julian Küsel, Marina Hönig, Silvija Markic",CHEMKON,"Volume 29, Issue 3",First published: 25 November 2020,https://onlinelibrary.wiley.com/doi/10.1002/ckon.202000056
3,So kann Science Outreach gelingen! – Transferprozess zwischen universitärer Forschung und Schulen,"Lena Geuer, Roland Ulber",Chemie Ingenieur Technik,"Volume 97, Issue 4",First published: 12 February 2025,https://onlinelibrary.wiley.com/doi/10.1002/cite.202400152
4,Neue Wege der standardkonformen Gesamtprozesssteuerung in der Life Science Automation,"Bernd Göde, Silke Holzmüller-Laue, Kerstin Thurow",Chemie Ingenieur Technik,"Volume 87, Issue 5",First published: 01 April 2015,https://onlinelibrary.wiley.com/doi/10.1002/cite.201400032
5,Dem Plastikmüll auf der Spur – Ein internationales Citizen-Science-Projekt zur Förderung der naturwissenschaftlichen Grundbildung von Schülerinnen und Schülern,"Katrin Kruse, Katrin Knickmeier, Daniela Honorato-Zimmer, Magdalena Gatta-Rosemary, Anna Weinmann, Tim Kiessling, Katrin Schöps, Martin Thiel, Ilka Parchmann",CHEMKON,"Volume 27, Issue 7",First published: 05 March 2020,https://onlinelibrary.wiley.com/doi/10.1002/ckon.201800093
6,Citizen Science,Georg Zizka,Biologie in unserer Zeit,"Volume 47, Issue 1",First published: 20 February 2017,https://onlinelibrary.wiley.com/doi/10.1002/biuz.201710611
7,"IRRIGATION IN THE TWENTY-FIRST CENTURY: REFLECTIONS ON SCIENCE, POLICY AND SOCIETY",Roberto Lenton,Irrigation and Drainage,"Volume 63, Issue 2",First published: 16 April 2014,https://onlinelibrary.wiley.com/doi/10.1002/ird.1844
8,„smart for science“: Eigene und gestellte Smartphones im Vergleich,"Fabienne E. Kremer, Annette Marohn",CHEMKON,"Volume 29, Issue S1","First published: June 15, 2022",https://onlinelibrary.wiley.com/doi/10.1002/ckon.202200009
9,Psychology as a Science of the Soul: Evangelos Christou’s The Logos of the Soul (1963),Robert Kugelmann,Journal of Analytical Psychology,"Volume 69, Issue 3",First published: 09 May 2024,https://onlinelibrary.wiley.com/doi/10.1111/1468-5922.13002
10,Entwicklungen und Trends in der industriellen Prozessanalytik für Life-Science-Anwendungen,"Martin Gerlach, Reinhard Gross, Thomas Steckenreiter, Jens Traenkle, Albert Tulke",Chemie Ingenieur Technik,"Volume 88, Issue 6",First published: 23 March 2016,https://onlinelibrary.wiley.com/doi/10.1002/cite.201500114
11,Chemie und Science Fiction,Rolf Gelius,Chemie in unserer Zeit,"Volume 46, Issue 5",First published: 02 October 2012,https://onlinelibrary.wiley.com/doi/10.1002/ciuz.201200573
12,"Climate change and water at Stellat'en First Nation, British Columbia, Canada: Insights from western science and traditional knowledge","Darlene Sanderson, Ian M. Picketts, Stephen J. Déry, Bryndel Fell, Sharolise Baker, Eddison Lee-Johnson, Monique Auger",The Canadian Geographer / Le Géographe canadien,"Volume 59, Issue 2",First published: 01 March 2015,https://onlinelibrary.wiley.com/doi/10.1111/cag.12142
13,Community-Science- Projekte in der Wissenschaft,"Fabian Ließmann, Anja Landsmann, Jan Rossa, Jens Meiler",Chemie in unserer Zeit,"Volume 58, Issue 4",First published: 15 May 2024,https://onlinelibrary.wiley.com/doi/10.1002/ciuz.202400009
14,Treatment of Leprosy: science or politics?,Bernard Naafs,Tropical Medicine & International Health,"Volume 11, Issue 3",First published: 07 March 2006,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-3156.2006.01561.x
15,"Building the Bioeconomy through Innovation, Monitoring and Science-based Policies","David Zilberman, Justus Wesseler",EuroChoices,"Volume 22, Issue 3",First published: 23 November 2023,https://onlinelibrary.wiley.com/doi/10.1111/1746-692X.12410
16,Ein Science Camp zu Wissenschaft und Wissenschaftskommunikation: Schüler präsentieren (ihre) Nanoforschung,"Frederike Tirre, Lorenz Kampschulte, Ilka Parchmann",CHEMKON,"Volume 22, Issue 4",First published: 28 October 2015,https://onlinelibrary.wiley.com/doi/10.1002/ckon.201410260
17,Science + Fiction: Isaac Asimov zum 15. Todestag,Thomas Schneider,Chemie in unserer Zeit,"Volume 41, Issue 2",First published: 02 April 2007,https://onlinelibrary.wiley.com/doi/10.1002/ciuz.200700403
18,Science at the center: Meaningful science learning in a preschool classroom,"Sara Raven, Julianne A. Wenner",Journal of Research in Science Teaching,"Volume 60, Issue 3",First published: 12 August 2022,https://onlinelibrary.wiley.com/doi/10.1002/tea.21807
19,»Science-in-fiction« and »Science-in-theatre« as pedagogic tools An Anglo-German Presentation,Carl Djerassi,N/A,N/A,First published: 17 December 2003,https://onlinelibrary.wiley.com/doi/10.1002/9783527623563.ch17
20,Is science really for me? Gender differences in student attitudes toward science,Paul Nnanyereugo Iwuanyanwu,School Science and Mathematics,"Volume 122, Issue 5",First published: 26 August 2022,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12541
21,Science,,N/A,N/A,First published: 22 December 2008,https://onlinelibrary.wiley.com/doi/10.1002/9781118266571.ch6
22,"Science, the Media, and Interpretations of Upper Paleolithic Figurines","April Nowell, Melanie L. Chang",American Anthropologist,"Volume 116, Issue 3",First published: 26 August 2014,https://onlinelibrary.wiley.com/doi/10.1111/aman.12121
23,Science,W. E. Boyd,N/A,N/A,First published: 28 January 2016,https://onlinelibrary.wiley.com/doi/10.1002/9781119076506.wbeps320
24,The Dialogue Between Science and Society,,N/A,N/A,First published: 07 June 2024,https://onlinelibrary.wiley.com/doi/10.1002/9781394299003.ch1
25,Belief in Science-Related Conspiracy Theories,"Shane Littrell, Amanda Diekman, Michelle Seelig, Kamal Premaratne, Stefan Wuchty, Daniel Verdear, Casey A. Klofstad, Joseph Uscinski",Journal of Social Issues,"Volume 81, Issue 1",First published: 16 March 2025,https://onlinelibrary.wiley.com/doi/10.1111/josi.70004
26,DIVINE DNA? “SECULAR” AND “RELIGIOUS” REPRESENTATIONS OF SCIENCE IN NONFICTION SCIENCE TELEVISION PROGRAMS,Will Mason-Wilkes,Zygon®,"Volume 55, Issue 1",First published: 19 February 2020,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12574
27,Science,Ralph O'Connor,N/A,N/A,First published: 05 February 2021,https://onlinelibrary.wiley.com/doi/10.1002/9781119092797.ch28
28,Science,Roger A. Willer,N/A,N/A,First published: 20 June 2022,https://onlinelibrary.wiley.com/doi/10.1002/9781118499528.ch133
29,The science of intentions and the intentions of science,Polly Young-Eisendrath,Psychotherapy and Politics International,"Volume 1, Issue 2",First published: 13 February 2006,https://onlinelibrary.wiley.com/doi/10.1002/ppi.58
30,Science,Teresa A. Sullivan,N/A,N/A,First published: 31 October 2021,https://onlinelibrary.wiley.com/doi/10.1002/9781405165518.wbeoss036.pub2
31,Science and the Military,F. A. Long,N/A,N/A,First published: 01 January 1972,https://onlinelibrary.wiley.com/doi/10.1002/9780470719848.ch9
32,Women in Science,Jacob Clark Blickenstaff,N/A,N/A,First published: 21 April 2016,https://onlinelibrary.wiley.com/doi/10.1002/9781118663219.wbegss551
33,Science academies issue statement about science and sustainable development,Randy Showstack,"Eos, Transactions American Geophysical Union","Volume 94, Issue 24",First published: 11 June 2013,https://onlinelibrary.wiley.com/doi/10.1002/2013EO240005
34,Understanding Science: The Armchair versus Practice,,N/A,N/A,First published: 01 January 2006,https://onlinelibrary.wiley.com/doi/10.1002/9780470773994.ch1
35,"Art, science and social science in nursing: occupational origins and disciplinary identity",Anne Marie Rafferty,Nursing Inquiry,"Volume 2, Issue 3",First published: September 1995,https://onlinelibrary.wiley.com/doi/10.1111/j.1440-1800.1995.tb00164.x
36,From “Religion and Science” to “Kalam and Science”,Basit Bilal Koshul,Dialog,"Volume 46, Issue 3",First published: 30 September 2007,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6385.2007.00333.x
37,VALUES IN SCIENCE,Ernan McMullin,Zygon®,"Volume 47, Issue 4",First published: 20 November 2012,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2012.01298.x
38,"Science, Greek",Paul T. Keyser,N/A,N/A,First published: 20 December 2019,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah21287.pub2
39,"“SCIENCE,” “RELIGION,” AND “SCIENCE-AND-RELIGION” IN THE LATE OTTOMAN EMPIRE",M. Alper Yalçinkaya,Zygon®,"Volume 54, Issue 4",First published: 13 November 2019,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12563
40,"Science, Roman",Daryn Lehoux,N/A,N/A,First published: 30 January 2023,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah21290.pub2
41,Science Journalism,Holger Wormer,N/A,N/A,First published: 23 November 2009,https://onlinelibrary.wiley.com/doi/10.1002/9781405186407.wbiecs016
42,"Geography's other histories? Geography and science in the British Association for the Advancement of Science, 1831–c.1933","Charles W J Withers, Diarmid Finnegan, Rebekah Higgitt",Transactions of the Institute of British Geographers,"Volume 31, Issue 4",First published: 10 November 2006,https://onlinelibrary.wiley.com/doi/10.1111/j.1475-5661.2006.00231.x
43,Beschichtungen für Life Science,"Volker Bucher Dr., Wilfried Nisch Dr.",Vakuum in Forschung und Praxis,"Volume 22, Issue 1",First published: 09 February 2010,https://onlinelibrary.wiley.com/doi/10.1002/vipr.201000405
44,"SCIENCE AND RELIGION AS LANGUAGES: UNDERSTANDING THE SCIENCE–RELIGION RELATIONSHIP USING METAPHORS, ANALOGIES, AND MODELS",Amy H. Lee,Zygon®,"Volume 54, Issue 4",First published: 13 November 2019,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12569
45,"A comparison of elementary teachers' verbal supports for students in inclusive and general classroom contexts during an NGSS-aligned science, engineering, and computer science unit","Sarah Lilly, Anne M. McAlister, Sarah J. Fick, Jennifer L. Chiu",Science Education,"Volume 107, Issue 4",First published: 17 February 2023,https://onlinelibrary.wiley.com/doi/10.1002/sce.21788
46,Science and the Pulpit: Clerical Perspectives on Science and Religion in the United States,"Shiri Noy, Timothy L. O'Brien",Journal for the Scientific Study of Religion,"Volume 63, Issue 3",First published: 21 April 2024,https://onlinelibrary.wiley.com/doi/10.1111/jssr.12917
47,Realist Philosophies of Science,Guy Gibbon,N/A,N/A,First published: 05 December 2018,https://onlinelibrary.wiley.com/doi/10.1002/9781119188230.saseas0498
48,Science Fiction,Michael R. Page,N/A,N/A,First published: 12 April 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781118300916.wberls004
49,Incorporating an engineering context into science learning: The effects of task context and response structuring on science understanding and investigation behaviors in a simulation,"Yang Jiang, Debra Brockway, Jung Aa Moon",Journal of Research in Science Teaching,"Volume 60, Issue 6",First published: 14 November 2022,https://onlinelibrary.wiley.com/doi/10.1002/tea.21832
50,Science,Alan Rauch,N/A,N/A,First published: 14 August 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781118405376.wbevl319
51,“RATIONALITY” IN SCIENCE AND MORALS,Mary Hesse,Zygon®,"Volume 23, Issue 3",First published: September 1988,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.1988.tb00636.x
52,Feminist Studies of Science,Letitia Meynell,N/A,N/A,First published: 21 April 2016,https://onlinelibrary.wiley.com/doi/10.1002/9781118663219.wbegss031
53,Science,Irma Taavitsainen,N/A,N/A,First published: 01 January 2002,https://onlinelibrary.wiley.com/doi/10.1002/9780470693469.ch23
54,Science,,N/A,N/A,First published: 08 June 2009,https://onlinelibrary.wiley.com/doi/10.1002/9781118266724.ch5
55,The Materials Science Interface at an Interdisciplinary Journal,"I. Osborne, P. Szuromi, J. Uppenbrink",Advanced Materials,"Volume 12, Issue 14",First published: 13 July 2000,https://onlinelibrary.wiley.com/doi/10.1002/1521-4095%28200007%2912%3A14%3C1015%3A%3AAID-ADMA1015%3E3.0.CO%3B2-7
56,Adapting the Ideas of Translational Science for Translational Family Science,"Joseph G. Grzywacz, Jeffrey W. Allen",Family Relations,"Volume 66, Issue 4",First published: 15 December 2017,https://onlinelibrary.wiley.com/doi/10.1111/fare.12284
57,"Science, Mesopotamian",Mathieu Ossendrijver,N/A,N/A,First published: 26 October 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah21289
58,Exploring the impact of an intervention on pre-service science teachers' attitudes and beliefs about gender and sexual diversity-inclusive science teaching,"Gary William Wright, Cesar Delgado, K. Rende Mendoza",Journal of Research in Science Teaching,"Volume 61, Issue 8",First published: 16 April 2024,https://onlinelibrary.wiley.com/doi/10.1002/tea.21942
59,Realising the Potential of European Agricultural Science Impacts,Peter Midmore,EuroChoices,"Volume 17, Issue 1",First published: 11 April 2018,https://onlinelibrary.wiley.com/doi/10.1111/1746-692X.12179
60,The effect of online collaboration on middle school student science misconceptions as an aspect of science literacy,"Jillian L. Wendt, Amanda Rockinson-Szapkiw",Journal of Research in Science Teaching,"Volume 51, Issue 9",First published: 11 August 2014,https://onlinelibrary.wiley.com/doi/10.1002/tea.21169
61,A Guide to International Hydrologic Science Programs,"R G Lawford, S Eden",N/A,N/A,First published: 15 April 2006,https://onlinelibrary.wiley.com/doi/10.1002/0470848944.hsa214
62,"Reforming Theology, Reframing Science","Ann Milliken Pederson, Philip Hefner",Dialog,"Volume 46, Issue 3",First published: 30 September 2007,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6385.2007.00331.x
63,Feminist Science Studies,"Samantha M. Archer, A.E. Kohler",N/A,N/A,First published: 27 November 2020,https://onlinelibrary.wiley.com/doi/10.1002/9781119314967.ch14
64,Science and Revolution,Clifford D. Conner,N/A,N/A,First published: 20 April 2009,https://onlinelibrary.wiley.com/doi/10.1002/9781405198073.wbierp1319
65,Expectancy-value and children's science achievement: Parents matter,"Julie A. Thomas, Kamden K. Strunk",Journal of Research in Science Teaching,"Volume 54, Issue 6",First published: 03 February 2017,https://onlinelibrary.wiley.com/doi/10.1002/tea.21382
66,Paradoxes of science as a system: (Fragments from the philosophy of science),Thomas A. Cowan,Systems Research,"Volume 7, Issue 2",First published: June 1990,https://onlinelibrary.wiley.com/doi/10.1002/sres.3850070201
67,(When) should psychology be a science?,Dario Krpan,Journal for the Theory of Social Behaviour,"Volume 52, Issue 1",First published: 21 July 2021,https://onlinelibrary.wiley.com/doi/10.1111/jtsb.12316
68,Standing on the shoulders of science,"Joshua L. Krieger, Monika Schnitzer, Martin Watzinger",Strategic Management Journal,"Volume 45, Issue 9",First published: 25 March 2024,https://onlinelibrary.wiley.com/doi/10.1002/smj.3598
69,Performing? Science?,,Nachrichten aus der Chemie,"Volume 59, Issue 12",First published: 03 January 2012,https://onlinelibrary.wiley.com/doi/10.1002/nadc.201290010
70,Science Across Cultures,Carlos Hiroo Saito,N/A,N/A,First published: 22 April 2020,https://onlinelibrary.wiley.com/doi/10.1002/9781405165518.wbeoss039.pub2
71,Science and Technology,Katy Price,N/A,N/A,First published: 28 March 2014,https://onlinelibrary.wiley.com/doi/10.1002/9781118604427.ch6
72,"Medical students' attitudes towards science and gross anatomy, and the relationship to personality","Odile Plaisant, Shiby Stephens, Nihal Apaydin, Robert Courtois, Baptiste Lignier, Marios Loukas, Bernard Moxham",Journal of Anatomy,"Volume 224, Issue 3",First published: 18 April 2013,https://onlinelibrary.wiley.com/doi/10.1111/joa.12043
73,Introducing undergraduate students to science,"Paulo De Ávila, Bayardo B. Torres",Biochemistry and Molecular Biology Education,"Volume 38, Issue 2",First published: 12 March 2010,https://onlinelibrary.wiley.com/doi/10.1002/bmb.20335
74,"Science writers, male",Daniel Bivona,N/A,N/A,First published: 14 August 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781118405376.wbevl290
75,Analysis of Religious Bias among Christian Students in Science,"Paula A. G. Soneral, Sara E. Brownell, M. Elizabeth Barnes",Journal for the Scientific Study of Religion,"Volume 62, Issue 1",First published: 02 February 2023,https://onlinelibrary.wiley.com/doi/10.1111/jssr.12825
76,Science,,N/A,N/A,First published: 20 December 2013,https://onlinelibrary.wiley.com/doi/10.1002/9781118650158.ch11
77,"Science, Byzantine",Maria Mavroudi,N/A,N/A,First published: 26 October 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah03209
78,"Engineering Design-Based Science, Science Content Performance, and Science Attitudes in Elementary School","Kristen Bethke Wendell, Chris Rogers",Journal of Engineering Education,"Volume 102, Issue 4",First published: 27 November 2013,https://onlinelibrary.wiley.com/doi/10.1002/jee.20026
79,Creating engineering design integrated science units and lessons,"Frackson Mumba, Jennie Chiu, Reid Bailey",School Science and Mathematics,Early View,First published: 27 February 2025,https://onlinelibrary.wiley.com/doi/10.1111/ssm.18346
80,Perspectives on Science,,N/A,N/A,First published: 24 April 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781118840108.ch2
81,"Discourses, dynamics and disquiet: Multiple knowledges in science, society and development","Melissa Leach, Andy Sumner, Linda Waldman",Journal of International Development,"Volume 20, Issue 6",First published: 28 August 2008,https://onlinelibrary.wiley.com/doi/10.1002/jid.1492
82,Scientists Negotiate Boundaries Between Religion and Science,"Elaine Howard Ecklund, Jerry Z. Park, Katherine L. Sorrell",Journal for the Scientific Study of Religion,"Volume 50, Issue 3",First published: September 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-5906.2011.01586.x
83,Rhetoric and science,Alain G. Bernard,N/A,N/A,First published: 26 October 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah21284
84,Science and Technology for Economic Growth. New Insights from when the Data Contradicts Desktop Models,Adrian S. Petrescu,Review of Policy Research,"Volume 26, Issue 6",First published: 30 November 2009,https://onlinelibrary.wiley.com/doi/10.1111/j.1541-1338.2009.00420.x
85,Science and Information Technoloav,Jon Agar,N/A,N/A,First published: 01 January 2003,https://onlinelibrary.wiley.com/doi/10.1002/9780470758328.ch18
86,Objectivity in Science,James A. Anderson,N/A,N/A,First published: 05 June 2008,https://onlinelibrary.wiley.com/doi/10.1002/9781405186407.wbieco002
87,CREATIVITY IN SCIENCE,Ursula W. Goodenough,Zygon®,"Volume 28, Issue 3",First published: September 1993,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.1993.tb01043.x
88,"The Obvious in a Nutshell: Science, Medicine, Knowledge, and History","Fabio De Sio, Heiner Fangerau",Berichte zur Wissenschaftsgeschichte,"Volume 42, Issue 2-3",First published: 07 August 2019,https://onlinelibrary.wiley.com/doi/10.1002/bewi.201900001
89,Set-shifting ability is specifically linked to high-school science and math achievement in Chinese adolescents,"Jingguang Li, Yajun Zhao, Shan Zhou, Yuling Pu, Hongyu He, Ming Zhao",PsyCh Journal,"Volume 9, Issue 3",First published: 16 January 2020,https://onlinelibrary.wiley.com/doi/10.1002/pchj.328
90,Toward narrowing the gap between science communication and science education disciplines,"Zehavit Kohen, Yehudit J. Dori",Review of Education,"Volume 7, Issue 3",First published: 09 November 2018,https://onlinelibrary.wiley.com/doi/10.1002/rev3.3136
91,"Science, Pseudo-Science, and Conspiracy Theories",,N/A,N/A,First published: 30 August 2016,https://onlinelibrary.wiley.com/doi/10.1002/9781119161684.ch4
92,Managing value-laden judgements in regulatory science and risk assessment,Kevin C Elliott,EFSA Journal,"Volume 17, Issue S1",First published: 08 July 2019,https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2019.e170709
93,Challenging Merton's Protestantism-Science Hypothesis: The Historical Impact of Sacerdotal Celibacy on German Science and Scholarship,George Becker,Journal for the Scientific Study of Religion,"Volume 50, Issue 2",First published: 03 June 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-5906.2011.01572.x
94,Religion and Science,Douglas Bafford,N/A,N/A,First published: 05 September 2018,https://onlinelibrary.wiley.com/doi/10.1002/9781118924396.wbiea1812
95,ZIONISM AND THE EROS OF SCIENCE AND TECHNOLOGY,Noah Efron,Zygon®,"Volume 46, Issue 2",First published: 09 May 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2010.01192.x
96,Assessing Elementary Teachers' Content Knowledge for Teaching Science for the ETS® Educator Series: Pilot Results,"Jamie N. Mikeska, Christopher Kurzum, Jonathan H. Steinberg, Jun Xu",ETS Research Report Series,"Volume 2018, Issue 1",First published: 01 June 2018,https://onlinelibrary.wiley.com/doi/10.1002/ets2.12207
97,Authentic science with citizen science and student-driven science fair projects,"Michele Hollingsworth Koomen, Elizabeth Rodriguez, Alissa Hoffman, Cindy Petersen, Karen Oberhauser",Science Education,"Volume 102, Issue 3",First published: 15 February 2018,https://onlinelibrary.wiley.com/doi/10.1002/sce.21335
98,Poetry and Science,Clark Lawlor,N/A,N/A,First published: 01 January 2006,https://onlinelibrary.wiley.com/doi/10.1002/9780470996638.ch4
99,Science and Poetry,Mark Lussier,N/A,N/A,First published: 12 April 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781118300916.wberls005
100,The Science of Philosophy,Colin McGinn,Metaphilosophy,"Volume 46, Issue 1",First published: 09 January 2015,https://onlinelibrary.wiley.com/doi/10.1111/meta.12116
101,Executive functions predict conceptual learning of science,"Sinéad M. Rhodes, Josephine N. Booth, Lorna Elise Palmer, Richard A. Blythe, Mirela Delibegovic, Nial J. Wheate",British Journal of Developmental Psychology,"Volume 34, Issue 2",First published: 11 January 2016,https://onlinelibrary.wiley.com/doi/10.1111/bjdp.12129
102,Some Practical Suggestions for Teaching Science in the Liberal Arts,Robert Pollack,Annals of the New York Academy of Sciences,"Volume 935, Issue 1",First published: 25 January 2006,https://onlinelibrary.wiley.com/doi/10.1111/j.1749-6632.2001.tb03488.x
103,"Slow science, the geographical expedition, and Critical Physical Geography",Stuart N. Lane,The Canadian Geographer / Le Géographe canadien,"Volume 61, Issue 1",First published: 02 December 2016,https://onlinelibrary.wiley.com/doi/10.1111/cag.12329
104,Cultures of Science,David N. Livingstone,N/A,N/A,First published: 01 January 2004,https://onlinelibrary.wiley.com/doi/10.1002/9780470996515.ch10
105,Media Use in the Science Classroom,Garry Hoban,N/A,N/A,First published: 09 May 2019,https://onlinelibrary.wiley.com/doi/10.1002/9781118978238.ieml0134
106,The effects of collaborative teamwork on secondary science,C.H. Chiu,Journal of Computer Assisted Learning,"Volume 18, Issue 3",First published: 11 December 2002,https://onlinelibrary.wiley.com/doi/10.1046/j.0266-4909.2002.00238.x
107,A conceptual framework for understanding the perspectives on the causes of the science–practice gap in ecology and conservation,"Diana Bertuol-Garcia, Carla Morsello, Charbel N. El-Hani, Renata Pardini",Biological Reviews,"Volume 93, Issue 2",First published: 20 November 2017,https://onlinelibrary.wiley.com/doi/10.1111/brv.12385
